completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
5/29/2019,Astrophysics for People in a Hurry,Neil deGrasse Tyson,224,n,2,Completed,Audiobook,Libby,W. W. Norton & Company,W. W. Norton & Company,6/2/2017,Nonfiction,Applied Physics,eng
6/1/2021,Reasons to be Cheerful,Nina Stibbe,288,y,1,Completed,Audiobook,BorrowBox,Penguin,Penguin,1/2/2020,Fiction,Romance,eng
8/25/2020,"My Sister, the Serial Killer",Oyinkan Braithwaite,240,y,1.5,Completed,Physical Book,,Atlantic Books,Atlantic Books,9/26/2019,Fiction,Thriller,eng
9/13/2021,"Carry On, Jeeves",P. G. Wodehouse,288,y,3.5,Completed,Audiobook,Libby,penguin,Arrow,6/28/2018,Fiction,Humour/ Satire,eng
2/7/2018,PostCapitalism: A Guide to Our Future,Paul Mason,368,y,2,Completed,Physical Book,,Penguin,Penguin,6/2/2016,Nonfiction,Economics,eng
7/20/2019,The Alchemist,Paulo Coelho,224,n,5,Completed,Physical Book,,HarperCollins,HarperCollins,1/1/1995,Fiction,Bildungsroman,eng
4/18/2017,The Alchemist,Paulo Coelho,224,y,5,Completed,Physical Book,,HarperCollins,HarperCollins,1/1/1995,Fiction,Self Help,eng
3/22/2018,Carry on,Rainbow Rowell,528,y,2,Completed,Physical Book,,Macmillan Publishers,Macmillan Children's Books,7/11/2019,Fiction,Bildungsroman,eng
6/28/2021,What If?: Serious Scientific Answer to Absurd Hypothetical Questions,Randall Munroe,320,y,4,Completed,Audiobook,Youtube,Hachette Book,John Murray,9/24/2015,Nonfiction,Physical Chemistry,eng
1/5/2022,Nudge,Richard H Thaler,384,y,4,Completed,Audiobook,Libby,penguin,Allen Lane,8/19/2021,Nonfiction,Economics,eng
12/21/2021,Misbehaving: The Making of Behavioral Economics,Richard H Thaler,432,y,4,Completed,Audiobook,Audible,Penguin,Penguin,5/5/2016,Nonfiction,Economics,eng
1/3/2021,The Thursday Murder Club,Richard Osman,400,y,2.5,Completed,Physical Book,,Penguin,Penguin,5/13/2021,Fiction,Mystery,eng
9/12/2017,Dr Jekyll and Mr Hyde,Robert Louis Stevenson,256,y,4.5,Completed,Physical Book,,Wordsworth Editions,Wordsworth Editions,7/5/1993,Fiction,Science Fiction,eng
10/16/2021,Death Knocks Twice,Robert Thorogood,385,n,3,Completed,Audiobook,Libby,HarperCollins,HQ,7/27/2017,Fiction,Mystery,eng
8/23/2021,The Killing of Polly Carter,Robert Thorogood,370,y,3,Completed,Audiobook,Libby,HarperCollins,HQ,12/3/2015,Fiction,Mystery,eng
6/29/2021,The Marlow Murder Club,Robert Thorogood,352,y,3,Completed,Audiobook,Libby,HarperCollins,HQ,7/8/2021,Fiction,Mystery,eng
11/30/2021,A Meditation On Murder,Robert Thorogood,384,n,3,Completed,Audiobook,Libby,HarperCollins,MIRA,5/7/2015,Fiction,Mystery,eng
6/8/2021,The Keeper of Lost Things,Ruth Hogan,320,y,4,Completed,Audiobook,Libby,Hachette Book,Two Roads,8/10/2017,Fiction,Contemporary,eng
10/17/2020,Gentleman Jack: The Real Anne Lister The Official Companion to the BBC Series,"Sally Wainwright,Anne Choma",368,y,5,Completed,Audiobook,unknown,penguin,BBC Books,4/25/2019,Nonfiction,Biographies,eng
12/30/2018,A Court of Wings and Ruin,Sarah J. Maas,736,n,3,Completed,Physical Book,,Bloomsbury,Bloomsbury Publishing,6/2/2020,Fiction,Fantasy,eng
8/8/2017,A Court of Thorns and Roses,Sarah J. Maas,432,y,4,Completed,Physical Book,,Bloomsbury,Bloomsbury Publishing,6/2/2020,Fiction,Fantasy,eng
3/2/2018,A Court of Mist and Fury,Sarah J. Maas,656,y,4.5,Completed,Physical Book,,Bloomsbury,Bloomsbury Publishing,6/2/2020,Fiction,Romance,eng
6/23/2019,Melmoth,Sarah Perry,288,n,1,Completed,Audiobook,unknown,Serpent's Tail,Serpent's Tail,10/3/2019,Fiction,Literary Fiction,eng
9/26/2020,Republic of Thieves,Scott Lynch,736,y,3.5,Completed,Physical Book,,Orion,Gollancz,7/31/2014,Fiction,Fantasy,eng
7/10/2020,Red Seas Under Red Skies,Scott Lynch,784,y,4,Completed,Physical Book,,Orion,Gollancz,11/8/2007,Fiction,Fantasy,eng
