completion date,Title,author(s),pages,review,rating,status,format,platform,publisher,Imprint,publication date,type,genre,language
12-14-19,何者,朝井 リョウ,286,y,4,Completed,Physical Book,,新潮社,新潮文庫,30-Nov-2012,Fiction,Contemporary,jp
,世界一初恋 ~横澤隆史の場合3~,藤崎 都,211,n,4,Completed,Physical Book,,KADOKAWA,角川ルビー文庫,30-Nov-2012,Fiction,Romance,jp
02-04-19,妖怪アパートの幽雅な日常 8,香月 日輪,232,n,4,Completed,Physical Book,,講談社,講談社文庫,14-Dec-2012,Fiction,Fantasy,jp
03-08-17,0能者ミナト<5>,葉山 透,278,n,,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,25-Dec-2012,Fiction,Mystery,jp
06-03-18,終わりのセラフ1 一瀬グレン、16歳の破滅,鏡 貴也,292,y,4,Completed,Physical Book,,講談社,講談社ラノベ文庫,4-Jan-2013,Fiction,Fantasy,jp
,ビブリア古書堂の事件手帖4 栞子さんと二つの顔,三上 延,338,n,4,Completed,Physical Book,,KADOKAWA,メディアワークス文庫,22-Feb-2013,Fiction,Mystery,jp
06-06-18,櫻子さんの足下には死体が埋まっている,太田 紫織,275,y,2.5,Completed,Physical Book,,KADOKAWA,角川文庫,23-Feb-2013,Fiction,Mystery,jp
,文豪ストレイドッグス -1,春河35,190,y,4,Completed,Manga,,KADOKAWA,カドカワコミックス・エース,3-Apr-2013,Fiction,Fantasy,jp
,真夏の方程式,東野 圭吾,463,y,4,Completed,Physical Book,,文藝春秋,文春文庫,10-May-2013,Fiction,Mystery,jp
,The Thief,Fuminori Nakamura,224,,,DNF,Audiobook,Audible,Hachette Book,Corsair,16-May-2013,Fiction,Literary Fiction,eng
10-04-18,本日は、お日柄もよく,原田 マハ,381,y,2.5,Completed,Physical Book,,徳間書店,徳間文庫,7-Jun-2013,Fiction,仕事小説,jp
